120 100 15000.0
81 9 101 2063281.4
48 22 33 437795.2
72 83 103 603528.9
94 21 69 1361741.1
59 32 95 1725111.1
57 41 94 1344107.0
74 38 97 1481319.4
85 7 77 1880579.6
10 11 118 2814024.0
87 36 53 482725.7
41 12 103 2320736.5
70 22 54 1003640.6
78 74 104 862200.0
63 23 81 1481342.8
57 76 97 567322.1
65 14 67 1262523.5
98 43 48 295145.9
92 8 82 1838945.9
12 59 88 818635.0
98 61 88 730828.5
14 32 116 2090007.7
28 34 42 275412.7
84 14 76 1710129.3
76 5 5 17675.5
37 3 59 1586752.6
19 29 67 1001458.8
47 53 108 1373553.5
61 53 116 1718496.8
43 23 93 2029356.7
33 4 80 1952987.2
22 2 78 2030911.6
55 15 97 2190335.6
31 13 100 2177171.6
13 59 117 1478203.8
39 31 111 2126601.1
1 15 75 1532444.0
79 43 100 1736741.1
34 25 53 829274.7
17 24 113 2193573.6
23 34 71 860881.1
50 44 112 1825710.8
50 1 19 584188.3
48 14 35 750495.4
77 19 39 620741.3
83 87 97 298364.0
10 66 119 1455321.6
92 33 79 1149854.9
82 50 99 1405166.6
66 1 108 2964443.0
29 67 84 563799.6
57 31 94 1587235.7
37 44 98 1451424.8
20 76 98 602072.1
26 3 17 402774.9
84 94 115 517424.3
52 61 87 657349.2
8 2 41 1129507.4
38 28 28 81964.0
25 2 87 2163756.3
82 10 59 1501336.0
91 29 88 1667177.1
96 93 106 350025.4
40 23 41 445398.4
26 45 102 1625620.7
48 106 108 131018.8
97 15 100 2174362.3
7 5 7 163847.0
86 7 62 1522254.3
46 66 77 290958.3
13 37 115 1937486.1
86 7 29 748851.4
23 35 93 1298676.1
38 15 70 1429319.7
100 38 56 488056.1
90 10 88 2093924.2
31 3 47 1086931.7
2 10 66 1423809.2
92 40 69 804866.6
4 4 119 3026883.2
81 29 87 1413885.0
2 32 101 1761396.1
1 34 106 1920993.0
92 61 93 776780.1
3 55 89 947388.2
2 49 74 636000.8
77 87 118 689167.9
65 23 94 1696551.9
23 53 104 1192246.9
90 52 63 400992.4
57 2 116 2939380.9
61 46 57 357380.2
9 20 42 639673.7
92 23 54 954257.8
8 41 76 998041.1
14 55 70 449992.2
73 34 78 1244733.0
41 97 111 455306.9
92 30 37 249666.3
70 32 73 1113345.5
2 6 32 695394.9
96 29 98 1647761.2
28 110 116 201458.3
74 33 39 291842.4
28 2 80 2067614.3
56 14 96 2017413.8
31 6 10 221060.6
6 30 30 109576.7
64 83 100 445386.4
16 41 53 276257.2
32 61 107 1230270.8
32 49 53 279654.5
67 5 75 1873621.7
65 8 56 1177839.1
6 31 105 2026290.9
60 19 23 182515.3
48 6 16 343910.2
31 13 46 898657.2
10 5 45 1139407.1
6 94 119 672070.4
65 40 118 1900164.2
33 67 75 300862.6
77 101 115 310987.4
37 48 86 1018343.7
4 8 16 277786.5
37 49 64 504255.7
32 82 110 866620.9
66 32 77 1257988.7
19 55 115 1544041.8
35 2 115 3051812.7
64 18 114 2305658.9
31 20 41 602647.9
62 63 89 698988.3
73 35 57 672271.7
75 8 100 2328133.9
79 61 66 264306.5
51 17 39 526585.2
70 14 76 1504721.4
87 36 65 829657.8
78 7 93 2155166.5
95 58 100 1136171.7
13 38 83 1233587.4
23 52 109 1391617.2
81 66 98 774860.3
80 73 100 795452.3
74 36 111 1831554.7
41 76 98 681696.2
74 8 45 1105752.3
27 15 58 1073499.5
37 61 111 1344298.4
41 79 115 1005016.2
26 46 91 1254956.4
25 69 119 1178423.1
27 56 66 416739.9
61 9 83 1772858.5
48 32 47 440994.5
99 48 113 1654272.7
28 6 37 925320.2
63 35 96 1538824.0
40 18 89 1742896.5
94 65 92 734116.8
84 55 96 1171236.8
7 4 59 1544386.8
75 66 82 424945.0
3 9 62 1300885.3
29 4 111 2516433.3
19 33 84 1316163.7
19 25 35 354021.3
67 69 84 580197.1
77 3 119 2819837.1
76 15 20 156982.5
37 47 109 1683681.4
47 11 78 1862119.2
50 94 118 772366.3
96 24 84 1502963.3
99 39 66 838202.2
63 59 88 742937.7
69 84 120 1053092.8
91 80 87 389622.3
10 10 69 1634580.0
18 30 34 210450.8
78 15 37 553580.9
21 47 88 1174313.5
53 21 71 1357512.4
39 24 30 280328.9
31 92 120 871255.4
93 14 69 1558185.3
1 7 54 1203310.0
44 47 107 1778849.6
82 112 120 245649.0
42 33 54 592576.6
9 62 65 116144.3
73 93 105 378874.2
17 33 35 132056.4
86 5 75 1900331.9
72 34 60 715777.3
27 3 50 1143855.2
45 63 102 1024817.6
95 22 94 1846041.0
43 38 78 1080679.0
42 3 42 1083669.4
83 1 5 242107.0
81 73 87 454883.7
36 24 112 1985632.1
60 42 51 368590.3
87 51 86 1107664.6
34 14 77 1676783.8
80 23 118 2553404.4
2 63 75 413833.6
20 31 66 895446.6
17 30 106 1887511.1
73 69 109 1039871.9
85 20 67 1310243.1
61 36 53 463252.7
35 19 90 1856988.1
34 62 87 741935.9
23 29 54 586812.9
54 31 51 544465.9
31 25 73 1113793.5
69 31 43 394291.3
19 9 100 2238427.8
1 109 111 162811.9
76 98 98 90686.9
50 36 54 577049.0
96 57 87 912789.2
9 3 19 392398.3
89 12 102 2087507.4
12 9 52 997663.1
82 17 45 945889.9
8 8 89 2112064.7
100 30 39 299192.2
39 30 66 1065739.0
3 64 74 261091.3
19 11 18 255530.3
46 24 101 1978598.5
62 50 112 1621879.4
43 24 105 2292234.1
10 55 106 1390533.0
78 2 25 639532.7
80 60 86 757459.0
65 8 103 2268655.8
29 84 97 394144.8
37 43 90 1201701.2
24 37 90 1638231.6
27 28 44 430311.9
13 87 100 388755.0
68 2 37 924623.6
36 16 91 1743779.3
36 47 117 1604467.1
8 53 119 1830425.2
72 53 60 308174.1
78 90 92 140868.7
84 5 84 2057394.9
4 76 91 500891.3
84 27 108 2129370.6
17 7 107 2358309.1
98 73 120 1386801.0
39 46 112 1789345.0
51 4 87 2044247.1
92 5 82 1897624.7
38 17 92 1946081.9
60 18 78 1562398.9
1 20 112 2402024.2
49 24 64 1152443.4
45 14 95 2044899.5
94 56 116 1677311.2
90 40 73 971784.0
56 76 88 416810.2
93 2 106 2742670.4
8 21 74 1447024.8
33 9 70 1587287.0
10 56 108 1437571.8
46 95 97 159628.7
25 25 31 297081.6
84 17 41 756539.4
35 103 103 105800.0
18 49 67 498121.3
42 113 116 169936.6
98 46 75 954719.5
63 23 24 80727.8
88 29 120 2222113.0
98 79 107 887416.6
15 50 101 1330696.0
10 5 94 2334007.8
98 41 118 2188842.0
46 11 95 2051270.8
27 11 19 242517.4
5 44 82 1100461.7
47 78 94 581409.8
97 46 82 1082026.9
50 87 99 432379.9
62 20 89 1821922.0
71 36 97 1560750.9
80 33 83 1384422.6
56 22 117 2364456.5
53 72 99 846832.1
98 5 108 2898360.8
20 65 85 525110.3
33 62 108 1083858.8
73 21 38 546874.4
78 52 75 761003.2
10 89 111 738190.5
13 9 21 414163.2
59 35 105 1786396.6
11 89 94 222156.1
42 36 74 1056564.4
46 29 36 289301.2
94 103 118 452247.5
70 42 105 1689418.9
63 41 102 1561927.0
26 5 72 1804252.1
40 66 118 1305044.5
24 11 94 2277116.5
47 79 95 583961.4
10 20 72 1464076.1
67 65 99 884527.2
14 15 52 1085084.0
32 72 119 1204706.1
70 5 69 1609150.9
15 20 86 1648191.7
83 94 97 178600.3
53 22 54 917834.4
35 97 116 736792.4
7 91 112 611193.3
100 21 104 2172100.1
41 86 88 123041.0
2 32 46 555174.8
19 60 84 666525.9
64 26 83 1437222.5
50 94 106 374103.7
22 62 104 1164890.0
97 40 102 1609902.6
83 57 67 348546.3
58 43 93 1059821.8
37 71 78 219086.3
4 80 89 362908.5
64 28 57 812821.7
13 15 43 812714.8
100 108 113 186461.9
22 11 109 2593043.9
27 86 93 244174.4
62 23 51 879452.3
46 7 47 1123480.7
36 4 91 2009093.8
16 33 98 1399626.1
97 60 75 543282.4
61 90 97 291132.6
7 28 112 2233952.0
21 3 10 240018.1
91 49 71 728066.3
16 19 88 1467860.7
42 45 72 769303.1
18 57 92 1055172.4
61 9 108 2473666.7
17 5 30 578015.1
40 13 47 876587.2
57 98 118 666903.4
81 50 66 518503.5
97 34 98 1628890.7
25 86 92 296900.0
41 85 85 23060.6
88 52 91 962645.5
55 9 32 590166.6
26 41 105 1782979.6
73 75 75 94274.1
45 101 118 465913.3
87 38 75 1135270.3
67 54 106 1289179.6
80 24 52 804323.2
64 50 56 287887.8
64 40 102 1506838.2
11 28 50 706885.5
5 86 111 734563.2
9 3 68 1474661.0
23 68 88 504411.0
42 47 70 652006.6
88 48 51 129669.2
11 10 73 1648667.0
23 106 108 155936.8
37 4 106 2769143.8
47 96 102 247897.8
25 75 78 173644.2
80 14 39 741749.9
60 6 51 1202320.1
56 10 39 822343.4
67 31 91 1632900.1
86 111 112 81375.0
9 68 97 875002.7
1 23 25 182429.2
68 17 69 1439358.3
23 7 41 892711.3
96 7 26 668255.4
68 30 117 2358123.3
55 58 118 1821775.0
38 98 100 128742.5
28 36 38 96676.4
32 10 113 2596432.1
32 85 92 258324.5
38 48 81 924076.6
66 34 95 1702462.1
9 31 113 2101233.4
1 93 107 473449.5
21 27 100 1984350.3
50 23 74 1270993.7
51 36 65 716575.6
45 49 74 595553.6
79 10 48 1065172.8
39 56 82 811296.5
99 30 32 142152.7
21 110 110 91032.2
98 74 109 1045055.3
1 116 120 218296.3
63 57 86 785025.6
92 7 67 1542652.8
34 32 67 961000.7
67 1 73 1893353.9
91 65 83 566117.1
52 33 117 1916333.1
56 13 82 1783454.3
44 60 78 679888.5
83 8 69 1543834.9
24 86 113 661565.5
5 48 87 1112048.2
59 27 27 58483.4
74 79 103 668069.0
40 9 43 894829.6
23 47 98 1197477.2
87 23 58 924814.1
95 53 59 269847.3
9 25 69 1066531.4
69 8 100 2323881.9
76 105 106 102771.4
31 11 55 1119545.6
54 14 35 616644.3
48 111 116 169611.0
15 5 62 1550833.6
3 66 111 1248893.3
39 57 98 1152114.9
61 82 103 688761.5
58 70 98 625646.1
82 45 94 1339062.9
93 74 105 908908.3
21 43 113 1878517.7
53 14 104 2363357.8
40 46 66 551445.2
80 114 116 205853.7
22 82 120 1003921.6
39 26 94 1877094.6
34 14 97 2091801.8
21 3 81 1986049.1
63 1 87 2310205.9
19 55 63 307240.9
89 53 114 1473128.8
59 36 44 296352.3
98 58 91 909637.7
34 30 81 1362346.9
43 28 100 2049813.7
86 23 111 2148621.5
49 64 80 553030.2
57 68 107 1043509.7
80 62 63 90541.1
100 81 97 525560.5
44 95 120 719500.2
44 34 69 1017396.7
71 9 93 2093752.3
48 104 105 59926.9
57 61 86 791718.1
43 48 112 1957388.6
27 29 82 1462516.6
100 41 47 259703.3
15 105 112 334470.9
87 22 73 1425122.5
64 73 104 800067.4
76 75 94 447471.2
33 34 64 830577.4
50 92 111 588625.2
41 35 87 1462401.9
15 77 97 570576.0
50 18 120 2577418.8
98 48 73 834695.9
53 27 92 1796849.2
73 64 88 631315.6
62 33 60 786968.0
2 34 68 958892.5
95 27 66 1018658.2
28 16 84 1831209.5
90 20 23 206067.3
87 63 111 1307438.6
9 57 89 874543.2
6 9 117 2707147.1
71 47 50 144224.0
97 17 58 1077256.3
94 44 70 887867.5
13 67 100 907970.6
40 3 78 1793535.1
28 63 69 275477.4
54 30 96 1555952.5
82 21 98 2146595.1
9 11 19 194326.0
16 78 82 146307.5
100 19 46 814976.9
91 7 22 378515.4
10 21 109 2306878.2
36 27 94 1555632.5
69 3 38 930244.2
49 45 47 88570.4
33 59 95 879152.3
78 34 100 1818666.1
84 42 56 525858.7
56 104 110 281559.6
54 67 101 786374.7
72 19 28 398048.2
75 7 22 578443.6
4 47 102 1541861.3
54 54 117 1342741.7
64 14 115 2402804.1
48 25 115 2226052.4
2 32 102 1811043.5
5 32 46 397358.4
82 25 67 1177940.8
6 6 76 1766662.7
12 32 67 968452.8
66 41 45 154374.1
45 18 101 2030960.2
24 99 101 104529.5
24 65 120 1309892.4
6 24 76 1337817.1
51 11 15 303583.7
74 8 48 1186726.3
33 11 89 1952299.9
12 69 86 457622.4
17 35 81 1257264.2
88 44 94 1258515.9
92 88 105 458970.6
5 6 44 996612.4
51 98 120 553094.9
81 57 84 846086.4
100 47 47 34779.3
61 13 14 59425.8
22 28 45 594846.2
39 52 71 578075.7
83 34 61 720756.0
100 52 100 1314109.0
63 22 77 1404068.0
80 73 87 420232.6
9 27 114 2171749.9
21 53 102 1348121.4
29 81 92 397963.9
79 3 22 643832.0
9 66 80 575229.7
43 1 4 192575.7
7 22 26 216553.8
8 3 109 2881993.5
92 34 98 1598445.1
89 60 106 1173473.5
34 55 90 997577.4
48 67 92 810096.8
7 106 118 453686.5
81 8 25 441493.2
83 39 55 393838.6
25 3 66 1656514.5
89 2 81 1866658.8
91 37 117 2234421.6
31 6 11 228035.2
52 10 111 2357549.1
95 29 47 461528.6
100 85 114 737295.3
12 38 101 1596361.2
60 60 116 1390455.8
34 49 97 1292652.2
23 74 110 1021075.7
50 3 46 1128395.7
68 11 115 2749147.2
51 98 100 167098.6
26 8 109 2642308.8
49 20 23 137287.8
98 10 107 2700835.1
31 1 57 1415657.4
55 26 103 2134136.4
72 18 93 2037732.8
89 106 107 73093.1
23 31 83 1090872.3
10 73 104 806990.5
3 18 48 783970.2
5 9 84 1937183.2
36 27 91 1489119.1
100 46 98 1380842.9
3 21 80 1490470.2
61 85 100 522793.3
56 20 78 1513500.9
41 32 87 1543338.3
3 42 86 1168542.0
3 62 63 155973.5
62 54 68 378248.0
74 41 113 1776629.5
71 26 42 389079.0
75 62 96 839217.4
12 2 78 1713878.0
39 29 74 1287944.8
91 50 68 627749.2
55 28 42 503486.0
1 71 118 1213242.8
9 54 110 1554451.3
66 14 90 2100221.2
95 95 108 347015.7
54 38 74 890466.2
61 20 52 856456.0
99 22 100 2073657.7
87 62 114 1381962.1
67 74 86 465680.9
59 52 68 504799.1
33 40 75 928441.4
49 44 74 771465.8
11 114 119 239925.8
16 39 58 430218.2
42 35 39 200346.9
31 30 88 1469383.2
74 18 98 2024559.9
73 76 92 479769.6
84 20 120 2594592.6
77 10 67 1547363.2
30 8 56 1211528.8
80 58 81 733875.8
29 18 80 1576278.8
29 7 20 428440.0
18 79 93 464334.0
38 6 10 160007.7
15 59 73 438871.9
97 33 70 1011906.3
17 93 93 13551.6
58 32 83 1162711.5
35 29 51 693414.7
28 17 51 1031718.3
93 13 30 539558.9
45 3 67 1592320.9
37 26 113 2324098.6
24 47 65 749959.6
74 5 21 526962.8
77 21 90 1749349.9
31 27 32 191075.5
5 14 79 1725108.5
85 13 33 614276.1
60 25 86 1542085.1
10 83 119 1050884.7
18 13 70 1411891.8
88 3 45 1159218.9
39 17 106 2363483.4
72 32 119 2302154.7
77 14 46 1010641.9
91 23 45 716911.7
60 9 55 1270741.9
50 54 91 985545.1
39 86 93 313933.2
21 76 108 931241.3
40 20 29 267475.8
19 86 111 739584.1
29 33 50 482131.6
35 29 70 1103862.5
37 10 61 1458282.9
93 17 117 2634070.9
40 69 104 980644.7
6 74 115 1215327.2
61 40 113 1928694.0
54 1 97 2243385.6
8 52 91 1017152.8
62 40 101 1593484.7
95 108 110 171539.5
96 64 84 593118.3
86 16 95 2056309.2
34 8 85 1991468.0
74 80 83 149617.3
97 43 51 285655.1
12 47 86 1046862.3
40 22 112 2164589.7
37 24 97 1984128.2
32 26 81 1498516.3
29 61 103 1145899.2
75 38 73 990209.8
97 15 104 2235498.9
20 47 89 1002647.6
29 99 108 291425.3
30 55 72 565252.3
55 41 48 291222.6
52 33 73 1038226.8
60 72 101 776539.8
43 70 99 1050084.9
19 15 108 2294117.4
65 29 102 1748581.4
56 43 57 422621.5
67 21 66 1319984.7
12 6 39 761891.6
15 70 118 1251733.7
76 15 53 958715.0
71 42 102 1549177.3
30 74 79 306975.4
80 3 31 739065.2
95 40 52 417588.1
41 16 45 779419.6
57 54 77 750869.1
17 30 82 1456574.4
61 10 61 1237029.3
40 15 65 1233298.7
25 39 100 1488091.1
1 95 107 432867.4
54 3 15 417993.3
66 7 105 2744970.7
61 7 72 1523760.8
24 20 31 393565.0
9 54 96 1163224.8
15 46 112 1707731.8
93 30 65 1061103.4
42 27 74 1307284.4
60 88 109 631048.5
71 56 88 863340.1
12 109 113 225529.7
92 33 58 814161.5
48 32 41 351281.7
36 48 67 509150.4
96 58 80 733986.1
34 31 72 1158832.5
51 14 74 1449181.7
28 41 44 213561.6
76 14 56 1035016.2
55 45 62 659324.7
82 42 57 456378.2
9 14 114 2441973.1
11 46 83 957428.4
98 45 57 558540.6
77 83 97 444824.2
16 17 95 1629978.4
82 46 52 265730.6
49 73 91 540882.1
85 12 44 940139.2
36 43 59 436628.2
48 38 70 775188.2
40 29 105 1899238.7
5 29 45 498050.9
94 36 107 1908757.3
77 57 99 1089930.8
50 6 66 1487031.1
49 9 34 752185.4
32 15 111 2454413.5
41 37 78 1135970.0
28 51 91 1080884.7
95 71 94 687737.8
81 39 59 572982.7
2 59 76 484320.5
74 51 96 1097770.3
50 34 36 140435.3
45 7 11 172209.9
24 103 110 209538.8
21 16 67 1428919.0
64 29 67 987560.2
74 23 49 880719.7
99 39 48 308794.1
92 84 85 95348.8
53 87 94 243423.6
33 53 58 151687.4
88 11 114 2495306.3
80 11 29 516353.8
79 91 116 740945.8
36 15 106 2037722.7
58 32 92 1352970.4
7 72 119 1319708.0
97 66 106 1065801.0
64 5 56 1230146.4
57 104 106 103642.0
61 91 112 634514.3
68 28 79 1451494.6
81 14 75 1480229.1
9 14 100 2134691.7
54 83 87 86830.3
74 47 102 1245005.0
35 119 120 42627.3
12 68 76 200767.5
30 10 48 988497.5
87 73 73 100111.9
39 30 89 1677931.7
37 18 56 1178991.1
39 77 86 424712.8
39 54 97 1217744.0
64 22 28 116215.8
90 47 62 543534.4
92 68 120 1241821.6
44 31 95 1754880.6
1 58 92 988854.8
91 1 29 717086.0
94 40 78 1129677.8
84 56 70 464957.9
1 113 120 240521.7
35 91 109 701431.7
4 16 109 2548270.7
71 85 119 891749.7
59 6 74 1741719.6
69 62 77 462690.6
77 27 87 1505291.4
27 3 47 1090720.8
19 76 94 557110.5
5 11 20 282486.6
38 23 43 607502.4
39 5 11 284742.1
66 27 92 1849128.7
47 46 100 1545907.5
26 17 78 1676476.0
69 25 103 1979576.6
37 12 53 1255173.7
17 53 110 1429170.1
78 5 12 329508.3
29 23 50 732634.6
83 7 36 826978.1
49 41 56 478859.1
50 11 31 633110.9
85 26 28 185267.9
47 59 106 1245869.0
49 71 78 319739.0
60 30 64 1006570.9
97 83 101 447650.2
83 99 102 144983.9
52 54 107 1231837.0
88 83 89 203858.4
80 56 120 1853139.1
14 41 78 982894.0
35 43 45 121362.0
9 29 69 982460.1
59 91 116 636832.7
20 57 59 75412.7
83 4 89 2146176.8
89 64 94 875351.7
79 2 43 1082021.0
67 54 92 1021306.7
49 15 114 2597616.3
29 74 78 251941.8
85 16 92 2047054.6
4 42 117 2026861.9
8 26 54 879034.6
59 5 104 2532532.8
40 22 98 1911502.7
90 98 119 596484.8
60 16 55 1059328.4
29 67 73 271536.3
26 79 79 62998.5
22 73 107 1021485.5
43 1 31 940809.0
43 60 80 671139.3
89 28 83 1339287.1
64 102 114 443986.0
32 16 91 1917541.8
4 74 84 355583.4
80 93 111 635368.2
52 1 72 1811056.2
95 66 114 1249210.8
97 19 26 231057.2
9 26 100 1861610.9
63 21 40 533184.5
88 116 116 42168.7
1 41 73 953430.2
79 18 109 2513310.0
9 90 105 555852.7
16 30 39 235138.3
29 58 116 1412007.6
2 47 84 898158.2
83 65 102 1058157.4
4 75 99 772086.5
31 35 108 1873372.7
60 71 120 1240404.3
64 51 70 541566.9
7 4 20 580264.4
76 101 104 124080.4
85 39 50 351657.8
60 14 33 525389.1
100 7 112 2727719.3
97 17 34 577399.9
56 14 86 1855733.8
35 3 61 1549704.1
6 30 76 1236945.0
29 54 104 1246866.5
57 24 52 763672.0
29 31 62 740707.8
40 27 46 548235.5
38 57 119 1561186.3
11 29 37 290087.0
97 40 85 1246312.9
52 19 104 1983378.7
64 87 90 160699.0
26 67 114 1378227.7
13 33 118 2149398.4
51 26 84 1359800.7
44 53 92 1216982.4
93 9 55 1297266.9
7 33 103 1881774.5
83 19 37 517067.8
8 17 27 401637.1
20 14 47 968143.9
22 5 101 2545521.2
74 59 73 294059.5
47 75 117 1126844.1
7 18 119 2629128.2
17 58 73 516463.4
54 9 74 1543935.2
4 40 119 2116089.2
48 11 109 2487596.5
13 17 89 1957083.1
90 67 99 909178.8
9 86 87 87632.0
6 84 86 134038.5
65 37 37 14730.3
78 37 53 505049.5
79 67 87 704801.5
36 19 48 757867.0
14 27 80 1352403.2
2 63 107 1166478.4
30 29 64 921262.2
98 13 119 2952518.2
34 3 6 245492.1
53 12 76 1792133.4
77 33 79 1231529.0
13 4 27 609820.0
39 40 85 1298986.8
29 10 75 1572301.6
26 73 108 1027188.6
99 32 108 2023736.0
4 29 103 2054358.3
24 78 117 896103.4
80 49 75 793712.8
14 8 119 2717533.2
99 3 27 591085.0
65 32 86 1217942.1
31 98 107 372943.5
15 67 88 662865.5
79 72 118 1301973.6
84 69 113 1141330.3
40 24 97 1867185.5
77 29 52 662124.8
78 5 50 1198753.2
17 5 13 314090.1
33 63 105 1042923.3
81 3 54 1176334.6
90 11 76 1802603.4
80 24 86 1656934.2
89 62 113 1255209.4
18 98 114 500863.1
5 39 97 1550803.4
37 36 65 924287.8
67 107 113 269909.2
20 4 34 859788.6
70 36 52 550845.1
25 44 57 423528.6
61 41 111 1865615.5
9 45 83 1084331.6
86 86 94 305095.5
37 22 46 787585.2
12 15 18 118780.9
18 53 113 1657982.3
80 11 26 480330.0
3 59 89 818275.9
20 78 100 629652.7
9 13 47 885240.6
42 19 102 2132353.7
16 52 98 1075667.5
89 2 22 587302.8
59 11 33 587843.0
48 60 118 1483337.3
63 41 60 568644.5
97 32 119 2220485.8
81 23 61 956343.2
32 1 120 2892794.1
47 70 83 463017.4
89 41 92 1270696.1
9 90 112 738576.7
80 29 63 978394.1
62 78 120 1222238.0
94 86 111 782913.3
83 58 112 1442326.5
93 41 63 719059.0
15 16 21 264795.1
61 3 67 1535682.2
12 26 71 1146916.9
49 34 114 2120103.2
85 62 70 257897.5
23 6 73 1559963.6
82 52 94 1176694.7
46 40 74 907277.0
70 83 98 509716.2
40 41 49 401199.3
65 30 56 613813.5
39 64 93 917228.5
85 47 78 903838.1
63 74 120 1253736.8
74 35 36 109851.8
1 46 53 266450.2
78 25 28 164716.5
3 55 111 1521169.2
22 19 63 1303177.4
42 97 97 86735.6
98 82 111 963377.5
10 54 68 520334.8
77 15 104 2225590.3
60 98 98 24213.3
8 55 60 274949.2
25 8 120 2731010.7
98 8 108 2829999.7
26 25 54 888683.6
19 11 86 1805120.5
18 4 63 1532856.6
35 49 58 308511.1
100 102 116 438996.6
15 27 73 1187812.2
16 74 120 1139378.8
60 7 77 1821976.5
55 19 63 1215877.1
19 43 80 987982.7
59 85 119 934334.9
78 31 114 2105719.9
61 11 80 1664454.2
77 32 56 705067.2
84 14 16 209721.2
79 60 105 1381761.3
3 73 90 494331.3
50 43 66 624018.0
27 3 89 2180449.4
67 5 101 2443519.6
23 21 84 1473590.0
93 30 39 410051.1
86 20 41 700780.3
50 2 120 3002870.9
76 15 37 619165.9
30 39 120 2191005.0
46 13 28 429285.8
24 4 15 440083.5
92 73 88 428158.7
70 25 100 1959775.9
10 7 115 2802895.8
1 14 33 479649.3
18 54 90 1034406.4
46 27 64 1071200.2
58 29 93 1430085.9
98 12 118 2976300.2
29 18 68 1228799.5
18 54 110 1522970.7
69 48 70 700224.9
13 34 55 588834.8
9 2 94 2268759.4
52 35 47 342630.9
46 8 66 1515752.1
40 81 113 918209.9
65 38 55 490795.3
67 7 61 1435641.7
100 57 100 1234020.6
99 6 67 1635104.5
25 16 104 2204668.5
44 13 79 1707817.5
42 87 116 974189.0
16 53 100 1098215.2
59 5 118 2863093.3
34 15 116 2630082.2
94 4 71 1833469.0
14 30 61 926676.3
96 3 79 2113233.6
12 25 95 1690672.0
81 23 36 383199.9
